,Country,Country_name,Area
0,103,Korea,Asia
1,104,North_Korea,Asia
2,105,China,Asia
3,106,Taiwan,Asia
4,107,Mongolia,Asia
5,108,Hong_Kong,Asia
6,110,Viet_Nam,Asia
7,111,Thailand,Asia
8,112,Singapore,Asia
9,113,Malaysia,Asia
10,116,Brunei,Asia
11,117,Philippines,Asia
12,118,Indonesia,Asia
13,120,Cambodia,Asia
14,121,Lao,Asia
15,122,Myanmar,Asia
16,123,India,Asia
17,124,Pakistan,Asia
18,125,Sri_Lanka,Asia
19,126,Maldives,Asia
20,127,Bangladesh,Asia
21,128,Timor-Leste,Asia
22,129,Macao,Asia
23,130,Afghanistan,Asia
24,131,Nepal,Asia
25,132,Bhutan,Asia
26,133,Iran,Middle_East
27,134,Iraq,Middle_East
28,135,Bahrain,Middle_East
29,137,Saudi_Arabia,Middle_East
30,138,Kuwait,Middle_East
31,140,Qatar,Middle_East
32,141,Oman,Middle_East
33,143,Israel,Middle_East
34,144,Jordan,Middle_East
35,145,Syria,Middle_East
36,146,Lebanon,Middle_East
37,147,United_Arab_Emirates,Middle_East
38,149,Yemen,Middle_East
39,150,Azerbaijan,Central_and_East_Europe_Russia
40,151,Armenia,Central_and_East_Europe_Russia
41,152,Uzbekistan,Central_and_East_Europe_Russia
42,153,Kazakhstan,Central_and_East_Europe_Russia
43,154,Kyrgyz,Central_and_East_Europe_Russia
44,155,Tajikistan,Central_and_East_Europe_Russia
45,156,Turkmenistan,Central_and_East_Europe_Russia
46,157,Georgia,Central_and_East_Europe_Russia
47,158,West_Bank_and_Gaza_Strip,Middle_East
48,201,Iceland,Western_Europe
49,202,Norway,Western_Europe
50,203,Sweden,Western_Europe
51,204,Denmark,Western_Europe
52,205,United_Kingdom,Western_Europe
53,206,Ireland,Western_Europe
54,207,Netherlands,Western_Europe
55,208,Belgium,Western_Europe
56,209,Luxembourg,Western_Europe
57,210,France,Western_Europe
58,211,Monaco,Western_Europe
59,212,Andorra,Western_Europe
60,213,Germany,Western_Europe
61,215,Switzerland,Western_Europe
62,216,Azores_(Portugal),Western_Europe
63,217,Portugal,Western_Europe
64,218,Spain,Western_Europe
65,219,Gibraltar_(UK),Western_Europe
66,220,Italy,Western_Europe
67,221,Malta,Western_Europe
68,222,Finland,Western_Europe
69,223,Poland,Central_and_East_Europe_Russia
70,224,Russia,Central_and_East_Europe_Russia
71,225,Austria,Western_Europe
72,227,Hungary,Central_and_East_Europe_Russia
73,228,Serbia,Western_Europe
74,229,Albania,Central_and_East_Europe_Russia
75,230,Greece,Western_Europe
76,231,Romania,Central_and_East_Europe_Russia
77,232,Bulgaria,Central_and_East_Europe_Russia
78,233,Cyprus,Western_Europe
79,234,Turkey,Western_Europe
80,235,Estonia,Central_and_East_Europe_Russia
81,236,Latvia,Central_and_East_Europe_Russia
82,237,Lithuania,Central_and_East_Europe_Russia
83,238,Ukraine,Central_and_East_Europe_Russia
84,239,Belarus,Central_and_East_Europe_Russia
85,240,Moldova,Central_and_East_Europe_Russia
86,241,Croatia,Western_Europe
87,242,Slovenia,Western_Europe
88,243,Bosnia_and_Herzegovina,Western_Europe
89,244,Former_Yugoslav_Republic_of_Macedonia,Western_Europe
90,245,Czech_Republic,Central_and_East_Europe_Russia
91,246,Slovak,Central_and_East_Europe_Russia
92,247,Montenegro,Western_Europe
93,248,Kosovo,Western_Europe
94,301,Greenland_(Denmark),North_America
95,302,Canada,North_America
96,303,St.Pierre_and_Miquelon_(France),North_America
97,304,United_States_of_America,North_America
98,305,Mexico,Middle_and_South_America
99,306,Guatemala,Middle_and_South_America
100,307,Honduras,Middle_and_South_America
101,308,Belize,Middle_and_South_America
102,309,El_Salvador,Middle_and_South_America
103,310,Nicaragua,Middle_and_South_America
104,311,Costa_Rica,Middle_and_South_America
105,312,Panama,Middle_and_South_America
106,314,Bermuda_(UK),Middle_and_South_America
107,315,Bahamas,Middle_and_South_America
108,316,Jamaica,Middle_and_South_America
109,317,Turks_and_Caicos_Islands_(UK),Middle_and_South_America
110,319,Barbados,Middle_and_South_America
111,320,Trinidad_and_Tobago,Middle_and_South_America
112,321,Cuba,Middle_and_South_America
113,322,Haiti,Middle_and_South_America
114,323,Dominican_Republic,Middle_and_South_America
115,324,Puerto_Rico_(USA),Middle_and_South_America
116,325,US_Virgin_Islands,Middle_and_South_America
117,326,Netherlands_Antilles,Middle_and_South_America
118,327,French_West_Indies,Middle_and_South_America
119,328,Cayman_islands_(UK),Middle_and_South_America
120,329,Grenada,Middle_and_South_America
121,330,St.Lucia,Middle_and_South_America
122,331,Antigua_and_Barbuda,Middle_and_South_America
123,332,British_Virgin_Islands,Middle_and_South_America
124,333,Dominica,Middle_and_South_America
125,334,Monstserrat_(UK),Middle_and_South_America
126,335,St.Christopher_and_Nevis,Middle_and_South_America
127,336,St.Vincent,Middle_and_South_America
128,337,British_Anguilla,Middle_and_South_America
129,401,Colombia,Middle_and_South_America
130,402,Venezuela,Middle_and_South_America
131,403,Guyana,Middle_and_South_America
132,404,Suriname,Middle_and_South_America
133,405,French_Guiana,Middle_and_South_America
134,406,Ecuador,Middle_and_South_America
135,407,Peru,Middle_and_South_America
136,408,Bolivia,Middle_and_South_America
137,409,Chile,Middle_and_South_America
138,410,Brazil,Middle_and_South_America
139,411,Paraguay,Middle_and_South_America
140,412,Uruguay,Middle_and_South_America
141,413,Argentina,Middle_and_South_America
142,414,Falkland_Islands_and_Dependencies_(UK),Middle_and_South_America
143,415,British_Antarctic_Territory,Middle_and_South_America
144,501,Morocco,Africa
145,502,Ceuta_and_Melilla_(Spain),Africa
146,503,Algeria,Africa
147,504,Tunisia,Africa
148,505,Libya,Africa
149,506,Egypt,Africa
150,507,Sudan,Africa
151,508,West_Sahara,Africa
152,509,Mauritania,Africa
153,510,Senegal,Africa
154,511,Gambia,Africa
155,512,Guinea-Bissau,Africa
156,513,Guinea,Africa
157,514,Sierra_Leone,Africa
158,515,Liberia,Africa
159,516,C̫te_d'Ivoire,Africa
160,517,Ghana,Africa
161,518,Togo,Africa
162,519,Benin,Africa
163,520,Mali,Africa
164,521,Burkina_Faso,Africa
165,522,Cape_Verde,Africa
166,523,Canary_Islands_(Spain),Africa
167,524,Nigeria,Africa
168,525,Niger,Africa
169,526,Rwanda,Africa
170,527,Cameroon,Africa
171,528,Chad,Africa
172,529,Central_Africa,Africa
173,530,Equatorial_Guinea,Africa
174,531,Gabon,Africa
175,532,Congo,Africa
176,533,Congo,Africa
177,534,Burundi,Africa
178,535,Angola,Africa
179,536,Sao_Tome_and_Principe,Africa
180,537,St._Helena_Island_and_Dependencies_(UK),Africa
181,538,Ethiopia,Africa
182,539,Djibouti,Africa
183,540,Somalia,Africa
184,541,Kenya,Africa
185,542,Uganda,Africa
186,543,Tanzania,Africa
187,544,Seychelles,Africa
188,545,Mozambique,Africa
189,546,Madagascar,Africa
190,547,Mauritius,Africa
191,548,Reunion_(France),Africa
192,549,Zimbabwe,Africa
193,550,Namibia,Africa
194,551,South_Africa,Africa
195,552,Lesotho,Africa
196,553,Malawi,Africa
197,554,Zambia,Africa
198,555,Botswana,Africa
199,556,Swaziland,Africa
200,557,British_indian_Ocean_Territories,Africa
201,558,Comoros,Africa
202,559,Eritrea,Africa
203,560,South_Sudan,Africa
204,601,Australia,Oceania
205,602,Papua_New_Guinea,Oceania
206,605,Other_Australian_Territories,Oceania
207,606,New_Zealand,Oceania
208,607,Cook,Oceania
209,608,Tokelau_Islands_(NZ),Oceania
210,609,Niue,Oceania
211,610,Samoa,Oceania
212,611,Vanuatu,Oceania
213,612,Fiji,Oceania
214,613,Solomon_Islands,Oceania
215,614,Tonga,Oceania
216,615,Kiribati,Oceania
217,616,Pitcairn_(UK),Oceania
218,617,Nauru,Oceania
219,618,New_Caledonia_(France),Oceania
220,619,French_Polynesia,Oceania
221,620,Guam_(USA),Oceania
222,621,American_Samoa,Oceania
223,622,American_Oceania,Oceania
224,624,Tuvalu,Oceania
225,625,Marshall,Oceania
226,626,Micronesia,Oceania
227,627,Northern_Mariana_Islands_(USA),Oceania
228,628,Palau,Oceania
229,701,For_Order,Special_Area
230,702,Unknown,Special_Area
231,703,Bonded_Manufacturing_Warehouse,Integrated_Hozei_Ar_Special_Area
